Rentrée universitaire,catégorie d'établissement,secteur d'établissement,code UAI de l'établissement,sigle de l'établissement,libellé de l'établissement,libellé complémentaire de l'établissement,Code UAI de la composante,sigle de la composante,libellé de la composante,libellé complémentaire de la composante,id région,région,id académie,académie,id département,département,id unité urbaine,unité urbaine,code commune,Commune,gps,degetu,degre_etudes,nombre total d’étudiants inscrits hors doubles inscriptions université/CPGE,dont femmes,dont hommes
2022,Lycées,Privé,0350793X,LPO PR METIER,LPO PRIVE LYCEE DES METIERS,FREDERIC OZANAM,0350793X,LPO PR METIER,LPO PRIVE LYCEE DES METIERS,FREDERIC OZANAM,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35051,Cesson-Sévigné,"48.12999046066628, -1.5980995433807048",2.0,BAC + 2,62,11,51
2022,Lycées,Privé,0350805K,ECP PR,ECOLE TECHNIQUE PRIVEE,LE COZIC SILVYA TERRADE RENNES,0350805K,ECP PR,ECOLE TECHNIQUE PRIVEE,LE COZIC SILVYA TERRADE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.1053780777385, -1.652000209421197",1.0,BAC + 1,38,34,4
2022,Lycées,Privé,0352267Z,ECP PR,ECOLE PRIVEE COIF ESTHETIQUE,L'ACADEMY - SILVYA TERRADE REN,0352267Z,ECP PR,ECOLE PRIVEE COIF ESTHETIQUE,L'ACADEMY - SILVYA TERRADE REN,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.10427073898263, -1.6691603554365282",1.0,BAC + 1,35,33,2
2022,Lycées,Public,0350026N,LGT,LYCEE GENERAL ET TECHNOLOGIQUE,JEAN MACE,0350026N,LGT,LYCEE GENERAL ET TECHNOLOGIQUE,JEAN MACE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11708074523634, -1.6702996079259036",1.0,BAC + 1,70,49,21
2022,Lycées,Public,0350029S,LGT,LYCEE GENERAL ET TECHNOLOGIQUE,JOLIOT-CURIE,0350029S,LGT,LYCEE GENERAL ET TECHNOLOGIQUE,JOLIOT-CURIE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12568718627173, -1.648130602070236",1.0,BAC + 1,183,30,153
2022,Lycées,Public,0350030T,LPO LYC METIER,LPO LYCEE DES METIERS,PIERRE MENDES FRANCE,0350030T,LPO LYC METIER,LPO LYCEE DES METIERS,PIERRE MENDES FRANCE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.13456378866646, -1.682469694733497",1.0,BAC + 1,163,18,145
2022,Lycées,Public,0350030T,LPO LYC METIER,LPO LYCEE DES METIERS,PIERRE MENDES FRANCE,0350030T,LPO LYC METIER,LPO LYCEE DES METIERS,PIERRE MENDES FRANCE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.13456378866646, -1.682469694733497",2.0,BAC + 2,32,6,26
2022,Écoles paramédicales hors université,Privé,0351601A,IFMK,INST FORM MASSO-KINESITHERAPIE,CHU PONTCHAILLOU RENNES,0351601A,IFMK,INST FORM MASSO-KINESITHERAPIE,CHU PONTCHAILLOU RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.124776359716186, -1.6987197692374079",1.0,BAC + 1,213,157,56
2022,Écoles paramédicales hors université,Public,0350098S,FORM SANTE,CENTRES FORM METIERS SANTE,CHRU PONTCHAILLOU RENNES,0350098S,FORM SANTE,CENTRES FORM METIERS SANTE,CHRU PONTCHAILLOU RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.116772952110914, -1.6957703345558421",1.0,BAC + 1,315,270,45
2022,Écoles paramédicales hors université,Public,0350098S,FORM SANTE,CENTRES FORM METIERS SANTE,CHRU PONTCHAILLOU RENNES,0350098S,FORM SANTE,CENTRES FORM METIERS SANTE,CHRU PONTCHAILLOU RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.116772952110914, -1.6957703345558421",2.0,BAC + 2,246,203,43
2022,Écoles paramédicales hors université,Public,0352087D,FORM SANTE,CENTRES FORM METIERS SANTE,CTRE HOSP SPE G REGNIER RENNES,0352087D,FORM SANTE,CENTRES FORM METIERS SANTE,CTRE HOSP SPE G REGNIER RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11531782496442, -1.6384495254941025",1.0,BAC + 1,110,100,10
2022,Écoles paramédicales hors université,Public,0352087D,FORM SANTE,CENTRES FORM METIERS SANTE,CTRE HOSP SPE G REGNIER RENNES,0352087D,FORM SANTE,CENTRES FORM METIERS SANTE,CTRE HOSP SPE G REGNIER RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11531782496442, -1.6384495254941025",3.0,BAC + 3,116,94,22
2022,Universités,Public,0290346U,U BREST,UNIVERSITE  BREST,BRETAGNE OCCIDENTALE,0351579B,UFR MATHS,UFR MATHEMATIQUES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",4.0,BAC + 4,37,17,20
2022,Universités,Public,0290346U,U BREST,UNIVERSITE  BREST,BRETAGNE OCCIDENTALE,0352424V,UFR ART LET,UFR ARTS LETTRES COMMUNICATION,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",5.0,BAC + 5,60,48,12
2022,Universités,Public,0290346U,U BREST,UNIVERSITE  BREST,BRETAGNE OCCIDENTALE,0352510N,CFMI,CFMI,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",4.0,BAC + 4,9,3,6
2022,Universités,Public,0290346U,U BREST,UNIVERSITE  BREST,BRETAGNE OCCIDENTALE,0352815V,UFR INFORM ELE,UFR INFORMATIQUE ELECTRONIQUE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",5.0,BAC + 5,6,2,4
2022,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0351855B,SEFOCEPE,SEFOCEPE,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12589162548629, -1.695210596508493",0.0,Inférieur ou égal au baccalauréat,108,65,43
2022,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0351855B,SEFOCEPE,SEFOCEPE,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12589162548629, -1.695210596508493",1.0,BAC + 1,28,15,13
2022,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0352425W,UFR SC SOC,UFR SCIENCES SOCIALES,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",4.0,BAC + 4,856,453,403
2022,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0352426X,UFR SC HUM,UFR SCIENCES HUMAINES,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",1.0,BAC + 1,1193,962,231
2022,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0352427Y,UFR LG CULT,UFR LANGUES CULTURES ETR REG,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",1.0,BAC + 1,1088,771,317
2022,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0352427Y,UFR LG CULT,UFR LANGUES CULTURES ETR REG,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",3.0,BAC + 3,565,441,124
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0350075S,IG RENNES,INSTITUT DE GESTION RENNES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11728104154247, -1.6723406266225596",0.0,Inférieur ou égal au baccalauréat,25,13,12
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0350075S,IG RENNES,INSTITUT DE GESTION RENNES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11728104154247, -1.6723406266225596",3.0,BAC + 3,229,122,107
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0350697T,IUT RENNES,IUT RENNES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12221682828508, -1.6287404076512841",3.0,BAC + 3,337,87,250
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0350899M,UFR ODONTOLOG,UFR ODONTOLOGIE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.117525814316345, -1.6966705794419807",4.0,BAC + 4,78,39,39
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0350899M,UFR ODONTOLOG,UFR ODONTOLOGIE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.117525814316345, -1.6966705794419807",6.0,BAC + 6 et plus,217,121,96
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351573V,UFR SC JURID,UFR SCIENCES JURIDIQUES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11795556476907, -1.6697200276533222",2.0,BAC + 2,759,533,226
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351573V,UFR SC JURID,UFR SCIENCES JURIDIQUES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11795556476907, -1.6697200276533222",3.0,BAC + 3,721,501,220
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351574W,UFR SC ECO,UFR SC ECO ET ECO APPLIQUEE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11610498006906, -1.6765806138697112",5.0,BAC + 5,623,368,255
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351574W,UFR SC ECO,UFR SC ECO ET ECO APPLIQUEE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11610498006906, -1.6765806138697112",6.0,BAC + 6 et plus,18,5,13
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351576Y,UFR SC MEDICAL,UFR SCIENCES MEDICALES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.117525814316345, -1.6966705794419807",2.0,BAC + 2,347,247,100
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351576Y,UFR SC MEDICAL,UFR SCIENCES MEDICALES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.117525814316345, -1.6966705794419807",3.0,BAC + 3,423,313,110
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351579B,UFR MATHS,UFR MATHEMATIQUES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",5.0,BAC + 5,147,33,114
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351580C,UFR SPM,UFR SCIENCES ET PROPRIETES DE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",0.0,Inférieur ou égal au baccalauréat,31,13,18
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0352786N,ESIR RENNES,EC SUP INGENIEURS RENNES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.114452391497785, -1.6467986203667293",1.0,BAC + 1,210,48,162
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0352815V,UFR INFORM ELE,UFR INFORMATIQUE ELECTRONIQUE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",2.0,BAC + 2,225,46,179
2022,Écoles supérieures artistiques et culturelles,Privé,0352252H,EC ART PR,E S R A  BRETAGNE,nan,0352252H,EC ART PR,E S R A  BRETAGNE,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12869941598695, -1.6421698171981294",1.0,BAC + 1,108,38,70
2022,Écoles supérieures artistiques et culturelles,Privé,0352252H,EC ART PR,E S R A  BRETAGNE,nan,0352252H,EC ART PR,E S R A  BRETAGNE,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12869941598695, -1.6421698171981294",2.0,BAC + 2,97,16,81
2022,Écoles supérieures artistiques et culturelles,Privé,0352253J,EC ART PR,ECOLE TECHNIQUE PRIVEE,MJM GRAPHIC DESIGN,0352253J,EC ART PR,ECOLE TECHNIQUE PRIVEE,MJM GRAPHIC DESIGN,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11519114649456, -1.6660295349759653",1.0,BAC + 1,236,161,75
2022,Écoles supérieures artistiques et culturelles,Public,0352845C,PT SUP - PESSV,LE PONT SUPERIEUR,PESSV BRETAGNE - PAYS DE LOIRE,0352845C,PT SUP - PESSV,LE PONT SUPERIEUR,PESSV BRETAGNE - PAYS DE LOIRE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.087854740700195, -1.6563033752353826",5.0,BAC + 5,9,0,9
2022,Autres écoles de spécialités diverses,Privé,0351002Z,ANT CFA,ANTENNE DE CFA,BATIMENT D'ILLE ET VILAINE,0351002Z,ANT CFA,ANTENNE DE CFA,BATIMENT D'ILLE ET VILAINE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35189,Montgermont,,2.0,BAC + 2,28,3,25
2022,Autres écoles de spécialités diverses,Privé,0352354U,EC SUP PR,I H E C F,INSTITUT DES HAUTES ETUDES COM,0352354U,EC SUP PR,I H E C F,INSTITUT DES HAUTES ETUDES COM,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,"48.04956111131656, -1.7427807565608635",3.0,BAC + 3,65,45,20
2022,Autres écoles de spécialités diverses,Privé,0352449X,OF CFA,ORGANISME FORMATION-CFA,I.N.H.N.I.,0352449X,OF CFA,ORGANISME FORMATION-CFA,I.N.H.N.I.,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,,1.0,BAC + 1,26,7,19
2022,Autres écoles de spécialités diverses,Privé,0352490S,OF - CFA,OF-CFA,SOGESTE GROUPE ESCCOT,0352490S,OF - CFA,OF-CFA,SOGESTE GROUPE ESCCOT,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35051,Cesson-Sévigné,,2.0,BAC + 2,39,14,25
2022,Autres écoles de spécialités diverses,Privé,0352767T,EC SUP PR,INSTITUT NATIONAL,FORMATIONS NOTARIALES,0352767T,EC SUP PR,INSTITUT NATIONAL,FORMATIONS NOTARIALES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.1042098313018, -1.6858300778413708",1.0,BAC + 1,49,40,9
2022,Autres écoles de spécialités diverses,Privé,0352779F,EC SUP PR,CENTRE DE FORMATION,MENSA,0352779F,EC SUP PR,CENTRE DE FORMATION,MENSA,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.094847600446954, -1.6344497651488852",2.0,BAC + 2,41,20,21
2022,Autres écoles de spécialités diverses,Privé,0352850H,EPITECH,ECOLE POUR L'INFORMATIQUE,nan,0352850H,EPITECH,ECOLE POUR L'INFORMATIQUE,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.1034761054172, -1.6895198982475026",2.0,BAC + 2,40,0,40
2022,Autres écoles de spécialités diverses,Privé,0352850H,EPITECH,ECOLE POUR L'INFORMATIQUE,nan,0352850H,EPITECH,ECOLE POUR L'INFORMATIQUE,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.1034761054172, -1.6895198982475026",5.0,BAC + 5,24,1,23
2022,Autres écoles de spécialités diverses,Privé,0352864Y,OF - CFA,OF-CFA,IMSCOF,0352864Y,OF - CFA,OF-CFA,IMSCOF,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,,2.0,BAC + 2,29,20,9
2022,Autres écoles de spécialités diverses,Privé,0352930V,DC RENNES,ECOLE TECH SUP PRIVEE INFORMAT,DIGITAL CAMPUS RENNES,0352930V,DC RENNES,ECOLE TECH SUP PRIVEE INFORMAT,DIGITAL CAMPUS RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.105555197439145, -1.6787462103972417",4.0,BAC + 4,58,31,27
2022,Autres écoles de spécialités diverses,Privé,0352937C,OF - CFA,OF - CFA CESSON-SEVIGNE,LYCEE PRIVE OZANAM,0352937C,OF - CFA,OF - CFA CESSON-SEVIGNE,LYCEE PRIVE OZANAM,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35051,Cesson-Sévigné,,2.0,BAC + 2,24,8,16
2022,Autres écoles de spécialités diverses,Privé,0353023W,SITE OF-CFA OZ,SITE DE FORMATION OF-CFA,PF UIMM lycée Frédéric-Ozanam,0353023W,SITE OF-CFA OZ,SITE DE FORMATION OF-CFA,PF UIMM lycée Frédéric-Ozanam,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35051,Cesson-Sévigné,,1.0,BAC + 1,18,0,18
2022,Autres écoles de spécialités diverses,Public,0352494W,CFPPA,C F P P A,LEGTA THEODORE MONOD,0352494W,CFPPA,C F P P A,LEGTA THEODORE MONOD,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35302,Le Rheu,35240,Le Rheu,,2.0,BAC + 2,18,4,14
2022,Autre établissements d'enseignement universitaire,Public,0353074B,EHESP RENNES,EC HTES ETUD SANTE PUB RENNES,nan,0350095N,EHESP RENNES,EC HTES ETUD SANTE PUB RENNES,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11634510265663, -1.7023595504452675",3.0,BAC + 3,24,17,7
2022,"Écoles de commerce, gestion et vente",Privé,0352305R,ESC RENNES,ECOLE SUPERIEURE DE COMMERCE,RENNES,0352305R,ESC RENNES,ECOLE SUPERIEURE DE COMMERCE,RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12779921760532, -1.6925593713792177",6.0,BAC + 6 et plus,62,13,49
2022,"Écoles de commerce, gestion et vente",Privé,0352354U,EC SUP PR,I H E C F,INSTITUT DES HAUTES ETUDES COM,0352354U,EC SUP PR,I H E C F,INSTITUT DES HAUTES ETUDES COM,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,"48.04956111131656, -1.7427807565608635",1.0,BAC + 1,62,44,18
2022,"Écoles de commerce, gestion et vente",Privé,0352848F,ESG RENNES,EC SUP GEST COMMERCE FINANCE,nan,0352848F,ESG RENNES,EC SUP GEST COMMERCE FINANCE,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.109897429536595, -1.6656803464516423",1.0,BAC + 1,44,28,16
2022,"Écoles de commerce, gestion et vente",Privé,0352848F,ESG RENNES,EC SUP GEST COMMERCE FINANCE,nan,0352848F,ESG RENNES,EC SUP GEST COMMERCE FINANCE,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.109897429536595, -1.6656803464516423",3.0,BAC + 3,177,106,71
2022,"Écoles de commerce, gestion et vente",Privé,0353001X,EC TECH SUP PR,GROUPE AFTEC,IPAC BACHELOR FACTORY RENNES,0353001X,EC TECH SUP PR,GROUPE AFTEC,IPAC BACHELOR FACTORY RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.09075242136242, -1.6312449374445546",3.0,BAC + 3,100,57,43
2022,"Écoles de commerce, gestion et vente",Privé,0353004A,EC TECH SUP PR,GROUPE AFTEC,WIN SPORT SCHOOL RENNES,0353004A,EC TECH SUP PR,GROUPE AFTEC,WIN SPORT SCHOOL RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.09075242136242, -1.6312449374445546",1.0,BAC + 1,35,7,28
2022,"Écoles de commerce, gestion et vente",Privé,0353004A,EC TECH SUP PR,GROUPE AFTEC,WIN SPORT SCHOOL RENNES,0353004A,EC TECH SUP PR,GROUPE AFTEC,WIN SPORT SCHOOL RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.09075242136242, -1.6312449374445546",3.0,BAC + 3,40,10,30
2022,Écoles normales supérieures,Public,0353074B,ENS RENNES,ECOLE NORMALE SUP RENNES,nan,0352440M,ENS RENNES,ECOLE NORMALE SUP RENNES,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,"48.043311109384184, -1.7505500142218064",4.0,BAC + 4,190,56,134
2022,Écoles d'ingénieurs,Privé,0292125C,ISEN BREST,ISEN YNCREA OUEST,ISEN YNCREA OUEST,0352824E,ISEN RENNES,ISEN YNCREA OUEST,ISEN YNCREA OUEST,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35051,Cesson-Sévigné,"48.12028584027187, -1.6277593949833185",2.0,BAC + 2,21,4,17
2022,Écoles d'ingénieurs,Privé,0352373P,EME BRUZ,ECOLE METIERS ENVIRONNEMENT,UNILASALLE - EME,0352373P,EME BRUZ,ECOLE METIERS ENVIRONNEMENT,UNILASALLE - EME,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,"48.043311109384184, -1.7505500142218064",3.0,BAC + 3,155,94,61
2023,"Écoles de commerce, gestion et vente",Privé,0353000W,IFAG RENNES,INST FORM AFFAIRES ET GESTION,IFAG,0353000W,IFAG RENNES,INST FORM AFFAIRES ET GESTION,IFAG,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.13191242734426, -1.7060514083936276",1.0,BAC + 1,19,9,10
2023,"Écoles de commerce, gestion et vente",Privé,0353004A,EC TECH SUP PR,GROUPE AFTEC,WIN SPORT SCHOOL RENNES,0353004A,EC TECH SUP PR,GROUPE AFTEC,WIN SPORT SCHOOL RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.09075242136242, -1.6312449374445546",1.0,BAC + 1,85,23,62
2023,"Écoles de commerce, gestion et vente",Privé,0353078F,OF TECH PRIV,ECOLE SUPERIEURE PRIVEE,ECOFAC BUSINESS SCHOOL RENNES,0353078F,OF TECH PRIV,ECOLE SUPERIEURE PRIVEE,ECOFAC BUSINESS SCHOOL RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35051,Cesson-Sévigné,"48.12788306266749, -1.6135475350643786",3.0,BAC + 3,3,3,0
2023,"Écoles de commerce, gestion et vente",Privé,0353078F,OF TECH PRIV,ECOLE SUPERIEURE PRIVEE,ECOFAC BUSINESS SCHOOL RENNES,0353078F,OF TECH PRIV,ECOLE SUPERIEURE PRIVEE,ECOFAC BUSINESS SCHOOL RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35051,Cesson-Sévigné,"48.12788306266749, -1.6135475350643786",5.0,BAC + 5,5,5,0
2023,"Écoles de commerce, gestion et vente",Privé,0353093X,ETAB. SUP. PRI,ECOLE SUPERIEURE PRIVEE,ECOLE DE COMMERCE EUROPEENNE D,0353093X,ETAB. SUP. PRI,ECOLE SUPERIEURE PRIVEE,ECOLE DE COMMERCE EUROPEENNE D,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.1057634623711, -1.6647714829666116",3.0,BAC + 3,33,21,12
2023,Écoles normales supérieures,Public,0353074B,ENS RENNES,ECOLE NORMALE SUP RENNES,nan,0352440M,ENS RENNES,ECOLE NORMALE SUP RENNES,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,"48.043311109384184, -1.7505500142218064",2.0,BAC + 2,154,64,90
2023,Écoles d'ingénieurs,Privé,0292125C,ISEN YNCREA OU,ISEN YNCREA OUEST,ISEN YNCREA OUEST,0352824E,ISEN RENNES,ISEN YNCREA OUEST,ISEN YNCREA OUEST,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35051,Cesson-Sévigné,"48.12028584027187, -1.6277593949833185",2.0,BAC + 2,7,0,7
